Measurement (hr),radiation [W/m²],RH [%],temp greenhouse [°C] 
1,14,93,18.8
2,46.6,93,19.86
3,82,94,19.16
4,70.05,95,20.17
5,98.33,96,20.23
6,146.05,95,22.9
7,189.63,95,22.44
8,250.1,94,23.36
9,163.13,96,24.08
10,163.4,95,23.86
11,149.67,96,24.4
12,190.73,96,23.46
13,47.45,97,22.1
14,35.93,97,23.45
15,3,96,23.4
16,0,97,23.4
17,0,98,22.55
18,1,95,22.55
19,1,95,21.8
20,1,96,21.9
21,1,95,21.2
22,0,93,21.2
23,0,95,21.34
24,0,95,21.8
25,9,94,22.1
26,25,93,22.53
27,36,89,21.9
28,68,82,22.93
29,89,81,23.33
30,136.68,81,22.8
31,363.8,78,25.45
32,307.25,77,27.48
33,321.6,77,26.2
34,202.7,75,24.88
35,255.4,73,25.2
36,268.57,75,25.22
37,178.23,77,24.4
38,150.08,73,24.8
39,27.4,76,23.9
40,0,79,22.58
41,0,78,20.4
42,0,81,20.6
43,0,83,19.89
44,1,82,19.81
45,0,81,20.31
46,0,79,20.4
47,0,75,20
48,0,74,20.9
49,18,75,21.4
50,133.57,72,23.3
51,140.43,71,21.7
52,157.67,79,22.43
53,93.5,78,22.54
54,203.97,72,23.34
55,245.17,71,25.89
56,265,67,24.24
57,718.42,71,28.2
58,499.37,72,29.1
59,508.34,73,27.6
60,371.7,78,26.7
61,262.47,83,25.4
62,129.48,86,24.2
63,14.5,87,23.05
64,0,87,22.35
65,0,92,21.05
66,0,88,21
67,0,93,20.3
68,0,89,20.3
69,0,88,20.64
70,0,83,20.3
71,0,81,21.2
72,1,80,21.6
73,43,80,22.1
74,185.85,77,23.47
75,357.9,75,21.47
76,515.2,75,22.8
77,665.27,78,23.33
78,661.8,73,24.53
79,578.5,75,27.83
80,543.83,72,25.32
81,806.65,75,28.32
82,338.2,77,24.8
83,514.48,77,27.38
84,452.17,78,26.25
85,153.65,92,23.39
86,82,95,24.01
87,14.88,97,23.9
88,0,98,22.6
89,0,98,21.5
90,0,99,20.8
91,0,98,20.5
92,0,97,20.7
93,0,95,20.6
94,0,95,20.3
95,0,97,20.3
96,0,96,21.1
97,8,91,21.5
98,70.02,81,22.2
99,275,77,22.7
100,449.03,74,26.6
101,630.73,78,30.3
102,580.95,71,27.61
103,556.27,73,27.91
104,777.33,68,30.68
105,716.4,72,23.68
106,658.88,65,23.31
107,567.26,65,25.7
108,447.27,72,26.61
109,308.45,90,26
110,149.33,92,23.98
111,20.37,95,23.8
112,0,96,22
113,0,96,20.3
114,0,97,20.1
115,0,92,20.37
116,0,89,20.5
117,0,88,20.9
118,0,85,20.4
119,0,86,20.1
120,1,88,20.6
121,51.3,89,21.16
122,122.47,92,23.06
123,108.62,85,20.9
124,138.85,83,21.26
